Iteration	Replicate_ID	Posterior	Likelihood	Prior	clock_time	TL	tmrca_Holocephalans_A	tmrca_Holocephalans_B
340	0	-1969.9	-1803.94	-165.964	1.044116	887.1457	0.1388055	0.13551
341	1	-2681.82	-2512.12	-169.7	2.160374	888.0475	443	0
342	0	-1975.48	-1809.51	-165.964	1.044116	887.1624	0.16246	0.13551
343	1	-2692.76	-2523.06	-169.7	2.160374	888.111	443	0
344	0	-1966.47	-1800.5	-165.964	1.044116	887.2794	0.1342032	0.13551
345	1	-2685.42	-2515.72	-169.7	2.160374	888.08	443	0
346	0	-1963.81	-1797.84	-165.964	1.044116	887.2401	0.1397913	0.13551
347	1	-2688.41	-2518.71	-169.7	2.160374	888.1204	443	0
348	0	-1968.18	-1802.21	-165.964	1.044116	887.0821	0.1388018	0.13551
349	1	-2688.2	-2518.5	-169.7	2.160374	888.1021	443	0
350	0	-1967.45	-1801.48	-165.964	1.044116	887.1453	0.1488581	0.13551
351	1	-2689.48	-2519.78	-169.7	2.160374	888.0052	443	0
352	0	-1970.54	-1804.58	-165.964	1.044116	887.174	0.1449131	0.13551
